timestamp,cpu_usage,memory_usage,network_bytes_sent,network_bytes_recv,server_status
1727069686.0434248,3.5,33.3,211550377,22465281055,UP
1727069688.0470946,11.2,33.4,211660210,22465373592,UP
1727069690.0510843,11.1,33.4,211868012,22465519230,UP
1727069692.0547595,7.5,33.0,211947652,22465595196,UP
1727069694.0570004,3.5,33.1,212052997,22465681262,UP
1727069696.060555,8.5,33.3,212124061,22465748654,UP
1727069698.0641248,11.6,33.3,212222300,22465831941,UP
1727069700.067758,3.0,33.3,212317421,22465909363,UP
1727069702.07158,6.6,33.5,212396933,22465985221,UP
1727069704.0754166,4.0,33.5,212490939,22466073709,UP
1727069706.0792856,13.1,33.3,212588010,22466151699,UP
1727069708.0830996,12.4,33.4,212679223,22466237324,UP
1727069710.0870178,2.5,33.4,212761372,22466318665,UP
1727069712.0905342,11.1,33.3,212863934,22466402274,UP
1727069714.0943456,0.5,33.4,213006920,22466526680,UP
1727069716.0976713,2.5,33.4,213100746,22466620798,UP
1727069718.1014569,10.0,33.6,213253119,22466766934,UP
1727069720.104876,2.5,33.6,213355616,22466873663,UP
1727069722.1074693,6.6,33.4,213459917,22466985210,UP
1727069724.1109352,6.5,33.5,213602483,22467120963,UP
1727069726.115012,3.0,33.5,213715997,22467240533,UP
1727069728.1175222,11.3,33.5,214071217,22467461239,UP
1727069730.1201382,2.0,33.5,214322182,22467635640,UP
1727069732.1228352,5.0,33.6,214549216,22467806036,UP
1727069734.124687,8.9,33.6,214798303,22467999869,UP
1727069736.1279519,4.5,33.6,215070685,22468203504,UP
1727069738.1299908,10.6,33.7,215317022,22468393824,UP
1727069740.1336079,2.0,33.3,215557590,22468578067,UP
1727069742.1361282,10.2,33.2,215714822,22468702329,UP
1727069744.1397467,12.6,33.4,215934631,22468855303,UP
1727069746.1437728,2.0,33.4,216020312,22468941068,UP
1727069748.1458688,8.5,33.5,216425113,22469193806,UP
